band,link,genres,start_year,end_year
tickertape parade,http://dbpedia.org/resource/Tickertape_Parade_(band),Indie rock|Indietronica,2002,2006
tidal arms,http://dbpedia.org/resource/Tidal_Arms,Psychedelic rock,2009,0
tijuana crime scene,http://dbpedia.org/resource/Tijuana_Crime_Scene,Indie rock|Indietronica,2000,2001
tijuana sweetheart,http://dbpedia.org/resource/Tijuana_Sweetheart,Alternative rock|Punk rock,2005,2012
tiles,http://dbpedia.org/resource/Tiles_(band),Progressive rock,1993,0
tilt,http://dbpedia.org/resource/Tilt_(band),Punk rock,1992,2001
time in malta,http://dbpedia.org/resource/Time_in_Malta_(band),Rock music,1997,2004
time to fly,http://dbpedia.org/resource/Time_to_Fly_(band),Indie rock|Indietronica,2001,2001
times of grace,http://dbpedia.org/resource/Times_of_Grace,Heavy metal|Post-rock,2007,2012
times two,http://dbpedia.org/resource/Times_Two,Dance-rock,1988,1991
tin bird choir,http://dbpedia.org/resource/Tin_Bird_Choir,Rock music,2007,0
tinted windows,http://dbpedia.org/resource/Tinted_Windows_(band),Alternative rock|Power pop,2009,0
tiny moving parts,http://dbpedia.org/resource/Tiny_Moving_Parts,Indie rock|Indietronica,2010,0
tirez tirez,http://dbpedia.org/resource/Tirez_Tirez,New wave,1978,1978
title fight,http://dbpedia.org/resource/Title_Fight,Indie rock|Indietronica|Punk rock,2003,0
titus andronicus,http://dbpedia.org/resource/Titus_Andronicus_(band),Indie rock|Indietronica|Punk rock,2005,0
tko,http://dbpedia.org/resource/TKO_(band),Hard rock|Heavy metal,1977,2001
to my surprise,http://dbpedia.org/resource/To_My_Surprise,Alternative rock|Experimental rock|Indie rock|Indietronica,2002,2006
toadies,http://dbpedia.org/resource/Toadies,Alternative rock,1989,1989
today is the day,http://dbpedia.org/resource/Today_Is_the_Day,Noise rock,1992,0
togeworl,http://dbpedia.org/resource/Togeworl,Folk rock,2011,0
toilet böys,http://dbpedia.org/resource/Toilet_Böys,Glam rock|Hard rock|Punk rock,1995,2003
toiling midgets,http://dbpedia.org/resource/Toiling_Midgets,Post-punk|Post-rock,1979,1979
tokyo rose,http://dbpedia.org/resource/Tokyo_Rose_(band),Rock music,1999,0
tom fuller band,http://dbpedia.org/resource/Tom_Fuller_Band,Indie rock|Indietronica,2005,0
tom shaner,http://dbpedia.org/resource/Tom_Shaner,Folk rock|Indie rock|Indietronica,1992,0
tommy tutone,http://dbpedia.org/resource/Tommy_Tutone,Power pop|Rock music,1978,0
tomorrows bad seeds,http://dbpedia.org/resource/Tomorrows_Bad_Seeds,Reggae rock,2004,0
tomorrow´s child,http://dbpedia.org/resource/Tomorrow's_Child,Hard rock|Heavy metal|Progressive rock,1987,1992
too close to touch,http://dbpedia.org/resource/Too_Close_to_Touch,Alternative rock,2013,0
tortoise,http://dbpedia.org/resource/Tortoise_(band),Experimental rock|Jazz fusion|Jazz rock|Post-rock|Progressive rock,1990,1990
total chaos,http://dbpedia.org/resource/Total_Chaos,Punk rock,1989,1989
totimoshi,http://dbpedia.org/resource/Totimoshi,Alternative rock|Punk rock,1999,0
toto,http://dbpedia.org/resource/Toto_(band),Jazz fusion|Jazz rock|Rock music,1977,2008
tourmaline,http://dbpedia.org/resource/Tourmaline_(band),Rock music,2004,0
towncrier,http://dbpedia.org/resource/Towncrier,Alternative rock|Indie rock|Indietronica|Rock music,1999,0
toxic reasons,http://dbpedia.org/resource/Toxic_Reasons,Punk rock,1979,1995
tracker,http://dbpedia.org/resource/Tracker_(band),Indie rock|Indietronica,1998,0
tragic mulatto,http://dbpedia.org/resource/Tragic_Mulatto_(band),Noise rock|Psychedelic rock,1980,1990
train,http://dbpedia.org/resource/Train_(band),Alternative rock|Pop rock|Rock music|Roots rock,1993,0
training for utopia,http://dbpedia.org/resource/Training_for_Utopia,Noise rock,1996,1996
trainwreck,http://dbpedia.org/resource/Trainwreck_(band),Hard rock|Heavy metal|Southern rock,2002,2011
trainwreck riders,http://dbpedia.org/resource/Trainwreck_Riders,Country rock,2003,2003
trampled under foot,http://dbpedia.org/resource/Trampled_Under_Foot_(band),Blues rock,2000,2015
trans am,http://dbpedia.org/resource/Trans_Am_(band),Indie rock|Indietronica|Post-rock,1990,0
transit,http://dbpedia.org/resource/Transit_(band),Alternative rock|Indie rock|Indietronica|Power pop,2006,2016
translator,http://dbpedia.org/resource/Translator_(band),Alternative rock|New wave|Post-punk,1979,1986
transmit now,http://dbpedia.org/resource/Transmit_Now,Alternative rock,2008,0
transparent,http://dbpedia.org/resource/Transparent_(New_York_rock_band),Alternative rock|Rock music,2010,0
trapped in static,http://dbpedia.org/resource/Trapped_In_Static,Alternative rock|Indie rock|Indietronica,2011,0
trapt,http://dbpedia.org/resource/Trapt,Alternative rock|Hard rock,1995,0
treat her right,http://dbpedia.org/resource/Treat_Her_Right,Blues rock|Roots rock,1984,1991
treaty of paris,http://dbpedia.org/resource/Treaty_of_Paris_(band),Alternative rock|Pop rock,2005,0
treepeople,http://dbpedia.org/resource/Treepeople,Alternative rock|Indie rock|Indietronica|Post-punk,1988,1994
trenchmouth,http://dbpedia.org/resource/Trenchmouth,Punk rock,1988,1996
trenchtown,http://dbpedia.org/resource/Trenchtown_(band),Punk rock,1996,0
trials,http://dbpedia.org/resource/Trials_(band),Heavy metal,2008,2016
tribe,http://dbpedia.org/resource/Tribe_(band),Alternative rock|Indie rock|Indietronica,1985,1994
tribe of gypsies,http://dbpedia.org/resource/Tribe_of_Gypsies,Hard rock,1991,1991
tribe of judah,http://dbpedia.org/resource/Tribe_of_Judah_(band),Hard rock|Industrial rock,2001,2003
trigger hippy,http://dbpedia.org/resource/Trigger_Hippy,Blues rock|Hard rock,2009,0
trik turner,http://dbpedia.org/resource/Trik_Turner,Alternative rock|Rap rock|Rapcore,1999,0
tripdavon,http://dbpedia.org/resource/Tripdavon,Alternative rock|Rock music,2004,0
tripod,http://dbpedia.org/resource/TriPod,Progressive rock|Rock music,1998,0
tripping daisy,http://dbpedia.org/resource/Tripping_Daisy,Alternative rock,1990,1999
trixter,http://dbpedia.org/resource/Trixter,Hard rock,1983,1995
trocadero,http://dbpedia.org/resource/Trocadero_(band),Alternative rock|Experimental rock,1997,0
trophy scars,http://dbpedia.org/resource/Trophy_Scars,Art rock|Indie rock|Indietronica|Post-punk|Progressive rock,2002,2016
troubador,http://dbpedia.org/resource/Troubador,Alternative rock|Folk rock|Garage rock|Indie rock|Indietronica,2011,0
trouble,http://dbpedia.org/resource/Trouble_(band),Hard rock,1979,1979
troubled hubble,http://dbpedia.org/resource/Troubled_Hubble,Indie rock|Indietronica,1998,1998
true liberty,http://dbpedia.org/resource/True_Liberty,Punk rock,2005,0
trumans water,http://dbpedia.org/resource/Trumans_Water,Alternative rock|Indie rock|Indietronica|Noise rock|Post-punk,1991,0
trust company,http://dbpedia.org/resource/Trust_Company_(band),Hard rock,1997,1997
trusty,http://dbpedia.org/resource/Trusty_(band),Punk rock,1989,1998
trytan,http://dbpedia.org/resource/Trytan,Hard rock,1979,1991
tsunami bomb,http://dbpedia.org/resource/Tsunami_Bomb,Punk rock,1998,2005
tt quick,http://dbpedia.org/resource/T.T._Quick,Heavy metal,1979,0
tub ring,http://dbpedia.org/resource/Tub_Ring,Alternative rock|Experimental rock|Punk rock,1992,0
tuesday,http://dbpedia.org/resource/Tuesday_(band),Punk rock,1996,1998
tuff darts,http://dbpedia.org/resource/Tuff_Darts,Punk rock,2002,2002
turbo fruits,http://dbpedia.org/resource/Turbo_Fruits,Alternative rock|Garage rock,2006,2016
turing machine,http://dbpedia.org/resource/Turing_Machine_(band),Post-rock,1998,1998
turnover,http://dbpedia.org/resource/Turnover_(band),Indie rock|Indietronica,2009,0
turnpike troubadours,http://dbpedia.org/resource/Turnpike_Troubadours,Country rock,2007,0
tweaker,http://dbpedia.org/resource/Tweaker_(band),Alternative rock|Industrial rock|Progressive rock,1990,0
twenty one pilots,http://dbpedia.org/resource/Twenty_One_Pilots,Rock music,2009,0
twin peaks,http://dbpedia.org/resource/Twin_Peaks_(band),Garage rock|Power pop,2009,0
twin tigers,http://dbpedia.org/resource/Twin_Tigers,Alternative rock,2007,0
twinemen,http://dbpedia.org/resource/Twinemen,Alternative rock|Indie rock|Indietronica,2001,0
twisted sister,http://dbpedia.org/resource/Twisted_Sister,Heavy metal,1972,1989
two cow garage,http://dbpedia.org/resource/Two_Cow_Garage,Alternative rock,2001,0
two gallants,http://dbpedia.org/resource/Two_Gallants_(band),Blues rock|Folk rock|Indie rock|Indietronica,2002,0
two nice girls,http://dbpedia.org/resource/Two_Nice_Girls,Country rock,1989,1989
two-star tabernacle,http://dbpedia.org/resource/Two-Star_Tabernacle,Alternative rock|Garage rock,1997,1999
tycho,http://dbpedia.org/resource/Tycho_(musician),Post-rock,2002,0
tyketto,http://dbpedia.org/resource/Tyketto,Hard rock,1987,1996
tyler read,http://dbpedia.org/resource/Tyler_Read,Indie rock|Indietronica|Southern rock,2003,2010
typhoon,http://dbpedia.org/resource/Typhoon_(American_band),Indie rock|Indietronica,2005,0
u.p.o.,http://dbpedia.org/resource/U.P.O.,Hard rock,1997,1997
u.s. chaos,http://dbpedia.org/resource/U.S._Chaos,Punk rock,1981,1987
u.s. christmas,http://dbpedia.org/resource/U.S._Christmas,Psychedelic rock,2002,0
u.s. crush,http://dbpedia.org/resource/U.S._Crush,Punk rock,1997,1997
u.s.s.a.,http://dbpedia.org/resource/U.S.S.A.,Alternative rock|Post-punk,2006,2006
ugly casanova,http://dbpedia.org/resource/Ugly_Casanova,Indie rock|Indietronica,1997,2002
ugly kid joe,http://dbpedia.org/resource/Ugly_Kid_Joe,Hard rock|Heavy metal,1987,1997
ultimate fakebook,http://dbpedia.org/resource/Ultimate_Fakebook,Alternative rock|Indie rock|Indietronica|Power pop,1994,2003
ultra vivid scene,http://dbpedia.org/resource/Ultra_Vivid_Scene,Indie rock|Indietronica,1987,1993
umbrellas,http://dbpedia.org/resource/Umbrellas_(band),Indie rock|Indietronica,2005,0
umphrey's mcgee,http://dbpedia.org/resource/Umphrey's_McGee,Funk rock|Jazz fusion|Jazz rock|Progressive rock|Rock music,1997,1997
uncle tupelo,http://dbpedia.org/resource/Uncle_Tupelo,Alternative rock|Country rock|Heartland rock,1987,1994
uncle wiggly,http://dbpedia.org/resource/Uncle_Wiggly_(band),Experimental rock|Indie rock|Indietronica|Power pop|Psychedelic rock,1988,1998
undercover,http://dbpedia.org/resource/Undercover_(band),Punk rock,1980,0
underground sunshine,http://dbpedia.org/resource/Underground_Sunshine,Psychedelic rock,1969,1970
underlined passages,http://dbpedia.org/resource/Underlined_Passages_(Band),Indie rock|Indietronica,2014,0
unified theory,http://dbpedia.org/resource/Unified_Theory_(band),Alternative rock|Hard rock,1998,2001
united pursuit,http://dbpedia.org/resource/United_Pursuit,Folk rock|Indie rock|Indietronica,2006,0
unknown component,http://dbpedia.org/resource/Unknown_Component,Alternative rock,2002,0
unlocking the truth,http://dbpedia.org/resource/Unlocking_the_Truth,Heavy metal,2007,0
unsane,http://dbpedia.org/resource/Unsane,Noise rock,1988,2000
until june,http://dbpedia.org/resource/Until_June,Alternative rock,2001,2014
unwritten law,http://dbpedia.org/resource/Unwritten_Law,Alternative rock|Punk rock,1990,1990
upset,http://dbpedia.org/resource/Upset_(band),Punk rock,2013,2013
urge overkill,http://dbpedia.org/resource/Urge_Overkill,Alternative rock|Hard rock,1985,1997
urgent,http://dbpedia.org/resource/Urgent_(American_band),Rock music,1984,1987
useless keys,http://dbpedia.org/resource/Useless_Keys,Alternative rock,2008,0
utopia,http://dbpedia.org/resource/Utopia_(American_band),Art rock|Hard rock|New wave|Pop rock|Progressive rock|Rock music|Soft rock,1973,1986
uzi,http://dbpedia.org/resource/Uzi_(band),Alternative rock|Noise rock,1984,1987
v shape mind,http://dbpedia.org/resource/V_Shape_Mind,Alternative rock,1999,2004
v sparks,http://dbpedia.org/resource/V_Sparks,Glam rock|Pop rock,2005,0
vain,http://dbpedia.org/resource/Vain_(band),Glam rock|Heavy metal,1986,1991
valencia,http://dbpedia.org/resource/Valencia_(band),Alternative rock,2003,2011
valient thorr,http://dbpedia.org/resource/Valient_Thorr,Hard rock|Heavy metal|Southern rock,2001,0
valkyrie,http://dbpedia.org/resource/Valkyrie_(band),Hard rock|Heavy metal,2002,0
vallejo,http://dbpedia.org/resource/Vallejo_(band),Alternative rock|Indie rock|Indietronica|Pop rock,1994,1994
valley lodge,http://dbpedia.org/resource/Valley_Lodge,Power pop,2005,0
value pac,http://dbpedia.org/resource/Value_Pac,Indie rock|Indietronica,1995,2001
van halen,http://dbpedia.org/resource/Van_Halen,Hard rock|Heavy metal,1972,0
van zant,http://dbpedia.org/resource/Van_Zant,Southern rock,1985,1985
vanaprasta,http://dbpedia.org/resource/Vanaprasta,Indie rock|Indietronica,2009,0
vanilla trainwreck,http://dbpedia.org/resource/Vanilla_Trainwreck,Indie rock|Indietronica,1988,1995
vanity theft,http://dbpedia.org/resource/Vanity_Theft,Alternative rock|Indie rock|Indietronica,2005,2005
vanladylove,http://dbpedia.org/resource/VanLadyLove,Rock music,2012,0
vary lumar,http://dbpedia.org/resource/Vary_Lumar,Alternative rock,2004,0
vaura,http://dbpedia.org/resource/Vaura,Heavy metal|Indie rock|Indietronica|Post-punk,2009,0
vcr,http://dbpedia.org/resource/VCR_(band),Punk rock,2002,2007
vector,http://dbpedia.org/resource/Vector_(band),New wave,1983,1983
velure,http://dbpedia.org/resource/Velure,Alternative rock|Rock music|Southern rock,1999,0
velvet crest,http://dbpedia.org/resource/Velvet_Crest,Baroque pop|Garage rock|Pop rock,1966,1971
velvet crush,http://dbpedia.org/resource/Velvet_Crush,Power pop,1989,0
velvet revolver,http://dbpedia.org/resource/Velvet_Revolver,Hard rock,2002,2008
venus and the moon,http://dbpedia.org/resource/Venus_and_the_Moon,Alternative rock,2014,0
verbena,http://dbpedia.org/resource/Verbena_(band),Alternative rock|Indie rock|Indietronica|Rock music|Southern rock,1994,2003
verbow,http://dbpedia.org/resource/Verbow,Alternative rock,1993,1993
veridia,http://dbpedia.org/resource/Veridia,Alternative rock|Hard rock|Pop rock,2013,0
vermont,http://dbpedia.org/resource/Vermont_(band),Indie rock|Indietronica,1999,2002
versa,http://dbpedia.org/resource/Versa_(band),Alternative rock|Experimental rock,2006,2006
versant,http://dbpedia.org/resource/Versant_(band),Alternative rock,2008,2012
versus,http://dbpedia.org/resource/Versus_(band),Indie rock|Indietronica|Noise rock,1990,1990
versus the world,http://dbpedia.org/resource/Versus_the_World_(band),Alternative rock|Punk rock,2005,0
veruca salt,http://dbpedia.org/resource/Veruca_Salt,Alternative rock,1993,2012
vestal claret,http://dbpedia.org/resource/Vestal_Claret,Heavy metal,2006,0
vhs or beta,http://dbpedia.org/resource/VHS_or_Beta,Alternative rock|Indie rock|Indietronica,1997,0
vicious rumors,http://dbpedia.org/resource/Vicious_Rumors,Heavy metal,1979,0
viktim,http://dbpedia.org/resource/Viktim,Industrial rock,1996,0
villebillies,http://dbpedia.org/resource/Villebillies,Rock music,2001,0
vintage blue,http://dbpedia.org/resource/Vintage_Blue,Rock music,2011,0
vinyl theatre,http://dbpedia.org/resource/Vinyl_Theatre,Alternative rock,2012,0
vinyl williams,http://dbpedia.org/resource/Vinyl_Williams,Psychedelic rock,2007,0
violent apathy,http://dbpedia.org/resource/Violent_Apathy,Punk rock,1981,1981
violent femmes,http://dbpedia.org/resource/Violent_Femmes,Punk rock,1980,1987
virgin millionaires,http://dbpedia.org/resource/Virgin_Millionaires,Alternative rock,2002,0
virgos merlot,http://dbpedia.org/resource/Virgos_Merlot,Hard rock,1998,1998
visible from space,http://dbpedia.org/resource/Visible_from_Space,Rock music|Roots rock,2002,2002
vitreous humor,http://dbpedia.org/resource/Vitreous_Humor_(Band),Alternative rock|Indie rock|Indietronica,1990,1996
viva death,http://dbpedia.org/resource/Viva_Death,Alternative rock,2002,0
viva hate,http://dbpedia.org/resource/Viva_Hate_(band),Hard rock|Punk rock,2004,2004
viva saturn,http://dbpedia.org/resource/Viva_Saturn,Alternative rock,1989,1998
viva voce,http://dbpedia.org/resource/Viva_Voce_(band),Indie rock|Indietronica|Psychedelic rock,1998,2013
vivian girls,http://dbpedia.org/resource/Vivian_Girls,Indie rock|Indietronica,2007,2007
vixen,http://dbpedia.org/resource/Vixen_(band),Hard rock,1973,0
voice farm,http://dbpedia.org/resource/Voice_Farm,Alternative rock,1980,0
volcano choir,http://dbpedia.org/resource/Volcano_Choir,Indie rock|Indietronica|Post-rock,2005,0
volcano suns,http://dbpedia.org/resource/Volcano_Suns,Alternative rock,1984,1991
volcano!,http://dbpedia.org/resource/Volcano!_(band),Art rock,2005,0
vom,http://dbpedia.org/resource/VOM_(punk_rock_band),Garage rock|Punk rock,1976,1976
von hemmling,http://dbpedia.org/resource/Von_Hemmling,Garage rock,1991,0
voodoo blue,http://dbpedia.org/resource/VooDoo_Blue,Alternative rock,1997,2007
vortis,http://dbpedia.org/resource/Vortis_(band),Punk rock,2000,0
vows,http://dbpedia.org/resource/Vows_(band),Art rock|Psychedelic rock,2011,2011
voxtrot,http://dbpedia.org/resource/Voxtrot,Indie rock|Indietronica,2003,2010
voyager one,http://dbpedia.org/resource/Voyager_One_(band),Experimental rock|Indie rock|Indietronica|Post-rock,1998,2011
vytas,http://dbpedia.org/resource/Vytas,Rock music,1993,0
wakefield,http://dbpedia.org/resource/Wakefield_(band),Alternative rock,2000,2012
wakrat,http://dbpedia.org/resource/WAKRAT,Alternative rock|Hard rock|Punk rock,2015,2015
walk the moon,http://dbpedia.org/resource/Walk_the_Moon,Dance-rock|Pop rock,2008,0
wall of voodoo,http://dbpedia.org/resource/Wall_of_Voodoo,Alternative rock|Industrial rock|New wave|Post-punk,1977,1989
walt mink,http://dbpedia.org/resource/Walt_Mink,Alternative rock|Psychedelic rock,1989,1997
walter meego,http://dbpedia.org/resource/Walter_Meego,Rock music,2004,2004
wampire,http://dbpedia.org/resource/Wampire,Indie rock|Indietronica,2007,0
wand,http://dbpedia.org/resource/Wand_(band),Garage rock|Noise rock|Psychedelic rock,2013,2013
wanderlust,http://dbpedia.org/resource/Wanderlust_(band),Alternative rock|Power pop,1992,1992
war,http://dbpedia.org/resource/War_(band),Funk rock,1969,0
war tapes,http://dbpedia.org/resource/War_Tapes,Indie rock|Indietronica|New wave|Post-punk,2004,0
warlord,http://dbpedia.org/resource/Warlord_(band),Heavy metal,1980,1986
warpaint,http://dbpedia.org/resource/Warpaint_(band),Art rock|Indie rock|Indietronica|Psychedelic rock,2004,0
warrant,http://dbpedia.org/resource/Warrant_(American_band),Hard rock|Heavy metal,1984,0
warrior,http://dbpedia.org/resource/Warrior_(band),Heavy metal,1983,0
warrior soul,http://dbpedia.org/resource/Warrior_Soul,Hard rock|Heavy metal,1987,0
was (not was),http://dbpedia.org/resource/Was_(Not_Was),Dance-rock,1979,1992
waters,http://dbpedia.org/resource/Waters_(band),Rock music,2011,0
watershed,http://dbpedia.org/resource/Watershed_(American_band),Power pop|Rock music,1987,1987
watter,http://dbpedia.org/resource/Watter,Post-rock,2013,2013
wavorly,http://dbpedia.org/resource/Wavorly,Alternative rock|Pop rock,2001,2001
wavves,http://dbpedia.org/resource/Wavves,Indie rock|Indietronica|Noise rock|Punk rock,2008,0
wax fang,http://dbpedia.org/resource/Wax_Fang,Experimental rock|Folk rock|Progressive rock|Psychedelic rock,2005,0
waxahatchee,http://dbpedia.org/resource/Waxahatchee,Indie rock|Indietronica,2010,0
we are harlot,http://dbpedia.org/resource/We_Are_Harlot,Hard rock,2011,0
we are scientists,http://dbpedia.org/resource/We_Are_Scientists,Alternative rock|Indie rock|Indietronica,1999,0
we are the fury,http://dbpedia.org/resource/We_Are_the_Fury,Indie rock|Indietronica,1999,1999
we are the riot,http://dbpedia.org/resource/We_are_the_Riot,Hard rock,2010,2010
we as human,http://dbpedia.org/resource/We_as_Human,Alternative rock|Hard rock,2006,2016
we barbarians,http://dbpedia.org/resource/We_Barbarians,Alternative rock|Indie rock|Indietronica,2007,2007
we five,http://dbpedia.org/resource/We_Five,Folk rock,1964,1967
we the kings,http://dbpedia.org/resource/We_the_Kings,Alternative rock|Pop rock,2005,0
we the living,http://dbpedia.org/resource/We_the_Living_(band),Alternative rock|Indie rock|Indietronica,2006,2006
weather report,http://dbpedia.org/resource/Weather_Report,Jazz fusion|Jazz rock,1970,0
weatherbox,http://dbpedia.org/resource/Weatherbox,Indie rock|Indietronica|Punk rock,2005,2016
weezer,http://dbpedia.org/resource/Weezer,Alternative rock|Indie rock|Indietronica|Power pop,1992,0
weinland,http://dbpedia.org/resource/Weinland_(band),Alternative rock|Art rock|Folk rock|Indie rock|Indietronica|Progressive rock,2006,0
well hung heart,http://dbpedia.org/resource/Well_Hung_Heart,Alternative rock|Blues rock|Garage rock,2011,0
welt,http://dbpedia.org/resource/Welt_(band),Punk rock|Rock music,1993,0
wendy & lisa,http://dbpedia.org/resource/Wendy_&_Lisa,Rock music,1986,0
weston,http://dbpedia.org/resource/Weston_(band),Indie rock|Indietronica,1990,1990
westrin & mowry,http://dbpedia.org/resource/Westrin_and_Mowry,Folk rock,2003,0
wet confetti,http://dbpedia.org/resource/Wet_Confetti,Indie rock|Indietronica|Post-punk,2000,2000
whale,http://dbpedia.org/resource/Whale_Horse,Post-punk|Rock music,2005,0
what is this,http://dbpedia.org/resource/What_Is_This%3F,Rock music,1980,1986
wheat,http://dbpedia.org/resource/Wheat_(band),Indie rock|Indietronica,1996,0
wheatus,http://dbpedia.org/resource/Wheatus,Hard rock|Power pop|Rock music,1995,0
wheels on fire,http://dbpedia.org/resource/Wheels_On_Fire,Garage rock|Pop rock,2005,0
while we're up,http://dbpedia.org/resource/While_We're_Up,Rock music,2010,2012
whirled peas,http://dbpedia.org/resource/Whirled_Peas,Surf music,1993,1996
whirlwind heat,http://dbpedia.org/resource/Whirlwind_Heat,Alternative rock|Garage rock,1996,0
whirr,http://dbpedia.org/resource/Whirr,Alternative rock|Noise rock|Post-rock,2010,0
whiskey myers,http://dbpedia.org/resource/Whiskey_Myers,Country rock|Hard rock|Southern rock,2008,0
whiskeydick,http://dbpedia.org/resource/WhiskeyDick,Country rock|Southern rock,2005,0
white denim,http://dbpedia.org/resource/White_Denim,Experimental rock|Garage rock|Indie rock|Indietronica|Progressive rock|Psychedelic rock|Southern rock,2006,2006
white hills,http://dbpedia.org/resource/White_Hills_(band),Experimental rock|Psychedelic rock,2000,0
white hot odyssey,http://dbpedia.org/resource/White_Hot_Odyssey,Glam rock|Hard rock,2002,2005
white light riot,http://dbpedia.org/resource/White_Light_Riot,Alternative rock|Progressive rock,2005,0
white lion,http://dbpedia.org/resource/White_Lion,Hard rock|Heavy metal,1983,0
white rabbits,http://dbpedia.org/resource/White_Rabbits_(band),Indie rock|Indietronica|Post-punk,2004,2004
white reaper,http://dbpedia.org/resource/White_Reaper,Indie rock|Indietronica,2014,2014
white sister,http://dbpedia.org/resource/White_Sister_(band),Hard rock|Heavy metal,1980,1989
white violet,http://dbpedia.org/resource/White_Violet_(band),Indie rock|Indietronica,2012,0
white whale,http://dbpedia.org/resource/White_Whale_(band),Indie rock|Indietronica,2005,0
white zombie,http://dbpedia.org/resource/White_Zombie_(band),Heavy metal|Noise rock,1985,1998
whitecross,http://dbpedia.org/resource/Whitecross,Hard rock|Heavy metal,1985,0
whitestarr,http://dbpedia.org/resource/Whitestarr,Rock music,2000,0
whitney,http://dbpedia.org/resource/Whitney_(band),Indie rock|Indietronica,2015,0
whole wheat bread,http://dbpedia.org/resource/Whole_Wheat_Bread_(band),Punk rock|Rap rock|Rapcore,2003,0
whores.,http://dbpedia.org/resource/Whores_(band),Noise rock,2010,0
wicked hemlocks,http://dbpedia.org/resource/Wicked_Hemlocks,Experimental rock|Indie rock|Indietronica|Noise rock|Psychedelic rock,2007,0
wicked lester,http://dbpedia.org/resource/Wicked_Lester,Folk rock,1970,1973
widdlesworth,http://dbpedia.org/resource/Widdlesworth,Indie rock|Indietronica,2003,2006
widespread panic,http://dbpedia.org/resource/Widespread_Panic,Blues rock|Jazz fusion|Jazz rock|Southern rock,1986,0
widowspeak,http://dbpedia.org/resource/Widowspeak,Indie rock|Indietronica,2010,0
wilco,http://dbpedia.org/resource/Wilco,Alternative rock|Art rock|Experimental rock|Indie rock|Indietronica,1994,0
wild cherry,http://dbpedia.org/resource/Wild_Cherry_(band),Funk rock,1970,1979
wild cub,http://dbpedia.org/resource/Wild_Cub,Indie rock|Indietronica,2011,0
wild dogs,http://dbpedia.org/resource/Wild_Dogs,Heavy metal,1981,0
wild flag,http://dbpedia.org/resource/Wild_Flag,Indie rock|Indietronica|Post-punk,2010,2014
wild light,http://dbpedia.org/resource/Wild_Light,Indie rock|Indietronica,2005,2005
wild nothing,http://dbpedia.org/resource/Wild_Nothing,Indie rock|Indietronica,2009,0
wild sweet orange,http://dbpedia.org/resource/Wild_Sweet_Orange,Indie rock|Indietronica,2004,2010
wildlife control,http://dbpedia.org/resource/Wildlife_Control_(band),Indie rock|Indietronica,2011,0
will haven,http://dbpedia.org/resource/Will_Haven,Experimental rock|Noise rock,1995,2002
wilson phillips,http://dbpedia.org/resource/Wilson_Phillips,Pop rock|Soft rock,1989,1993
windsor airlift,http://dbpedia.org/resource/Windsor_Airlift,Post-rock,2002,0
windsor drive,http://dbpedia.org/resource/Windsor_Drive,Indie rock|Indietronica,2008,0
wintergreen,http://dbpedia.org/resource/Wintergreen_(band),Alternative rock,2006,0
winterpills,http://dbpedia.org/resource/Winterpills,Indie rock|Indietronica,2003,2003
winters bane,http://dbpedia.org/resource/Winter's_Bane,Heavy metal,1990,0
wipers,http://dbpedia.org/resource/Wipers,Alternative rock|Garage rock|Post-punk|Punk rock,1977,1989
wire train,http://dbpedia.org/resource/Wire_Train,Alternative rock|New wave,1983,1992
wired all wrong,http://dbpedia.org/resource/Wired_All_Wrong,Alternative rock|Heavy metal,2006,2006
wirepony,http://dbpedia.org/resource/Wirepony,Alternative rock|Folk rock|Indie rock|Indietronica|Punk rock,2003,0
wires on fire,http://dbpedia.org/resource/Wires_on_Fire,Rock music,2004,2004
wires under tension,http://dbpedia.org/resource/Wires_Under_Tension,Post-rock,2009,0
wiretree,http://dbpedia.org/resource/Wiretree,Indie rock|Indietronica|Post-punk,2005,2005
wishing chair,http://dbpedia.org/resource/Wishing_Chair,Folk rock|Roots rock,1995,0
wives,http://dbpedia.org/resource/Wives_(band),Noise rock,2001,2005
wizard,http://dbpedia.org/resource/Wizard_(American_band),Hard rock|Psychedelic rock,1970,1971
wolf eyes,http://dbpedia.org/resource/Wolf_Eyes,Noise rock,1996,0
wolves at the gate,http://dbpedia.org/resource/Wolves_at_the_Gate_(band),Hard rock,2008,0
wooden shjips,http://dbpedia.org/resource/Wooden_Shjips,Psychedelic rock,2006,0
woods,http://dbpedia.org/resource/Woods_(band),Folk rock,2005,0
wordview,http://dbpedia.org/resource/Worldview_(band),Heavy metal,2013,0
work drugs,http://dbpedia.org/resource/Work_Drugs,New wave,2010,0
world blanket,http://dbpedia.org/resource/World_Blanket,Indie rock|Indietronica|Rock music,2005,0
world fire brigade,http://dbpedia.org/resource/World_Fire_Brigade,Rock music,2009,0
world leader pretend,http://dbpedia.org/resource/World_Leader_Pretend,Alternative rock,2002,2008
worriers,http://dbpedia.org/resource/Worriers_(band),Punk rock,2011,2011
woven,http://dbpedia.org/resource/Woven_(band),Rock music,1997,1997
wovenwar,http://dbpedia.org/resource/Wovenwar,Hard rock|Heavy metal,2013,0
wrathchild america,http://dbpedia.org/resource/Wrathchild_America,Heavy metal,1978,1992
wrinkle neck mules,http://dbpedia.org/resource/Wrinkle_Neck_Mules,Folk rock|Indie rock|Indietronica|Roots rock,1999,0
